level,old_build,new_build,old_skills,new_skills,old_gold_before,new_gold_before,old_gold_earned,new_gold_earned,old_xp_before,new_xp_before,old_xp_earned,new_xp_earned,old_stars_before,new_stars_before,build_changed
085,char=vanguard@23;weapon=weapon_scattergun@50;armor=armor_kevlar@16;chip=chip_attack@18;pet=pet_turret_drone@12;sig=4,char=vanguard@17;weapon=weapon_scattergun@44;armor=armor_kevlar@13;chip=chip_attack@14;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,888,66,19557,6123,5281,5402,3478,3484,71,71,yes
086,char=vanguard@23;weapon=weapon_scattergun@50;armor=armor_kevlar@16;chip=chip_attack@18;pet=pet_turret_drone@12;sig=4,char=vanguard@17;weapon=weapon_scattergun@45;armor=armor_kevlar@13;chip=chip_attack@14;pet=pet_turret_drone@11;sig=4,skill_barrier:5|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,203,591,15640,5856,259,386,2605,2605,73,73,yes
087,char=vanguard@23;weapon=weapon_scattergun@50;armor=armor_kevlar@17;chip=chip_attack@19;pet=pet_turret_drone@13;sig=4,char=vanguard@17;weapon=weapon_scattergun@46;armor=armor_kevlar@13;chip=chip_attack@14;pet=pet_turret_drone@11;sig=4,skill_barrier:5|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,288,723,16969,5691,2864,2991,2931,2931,75,75,yes
088,char=vanguard@24;weapon=weapon_scattergun@50;armor=armor_kevlar@18;chip=chip_attack@19;pet=pet_turret_drone@13;sig=4,char=vanguard@17;weapon=weapon_scattergun@47;armor=armor_kevlar@13;chip=chip_attack@14;pet=pet_turret_drone@11;sig=4,skill_barrier:5|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,24,564,17940,5264,5795,5922,3046,3046,77,77,yes
089,char=vanguard@24;weapon=weapon_scattergun@50;armor=armor_kevlar@18;chip=chip_attack@20;pet=pet_turret_drone@13;sig=4,char=vanguard@17;weapon=weapon_scattergun@47;armor=armor_kevlar@13;chip=chip_attack@15;pet=pet_turret_drone@11;sig=4,skill_barrier:5|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,996,124,18112,4174,341,468,2934,2934,79,79,yes
090,char=vanguard@25;weapon=weapon_scattergun@50;armor=armor_kevlar@18;chip=chip_attack@20;pet=pet_turret_drone@15;sig=4,char=vanguard@17;weapon=weapon_scattergun@47;armor=armor_kevlar@14;chip=chip_attack@15;pet=pet_turret_drone@11;sig=4,skill_barrier:5|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,124,121,19390,4632,3275,3402,3238,3314,81,81,yes
091,char=vanguard@25;weapon=weapon_scattergun@50;armor=armor_kevlar@18;chip=chip_attack@20;pet=pet_turret_drone@15;sig=4,char=vanguard@17;weapon=weapon_scattergun@47;armor=armor_kevlar@14;chip=chip_attack@15;pet=pet_turret_drone@11;sig=4,skill_barrier:5|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,1186,87,14370,4745,6513,6716,2137,2142,83,83,yes
092,char=vanguard@26;weapon=weapon_scattergun@50;armor=armor_kevlar@18;chip=chip_attack@20;pet=pet_turret_drone@15;sig=4,char=vanguard@17;weapon=weapon_scattergun@47;armor=armor_kevlar@14;chip=chip_attack@15;pet=pet_turret_drone@11;sig=4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,687,704,18866,6845,150,358,3045,3055,85,85,yes
093,char=vanguard@26;weapon=weapon_scattergun@50;armor=armor_kevlar@18;chip=chip_attack@21;pet=pet_turret_drone@15;sig=4,char=vanguard@17;weapon=weapon_scattergun@48;armor=armor_kevlar@14;chip=chip_attack@16;pet=pet_turret_drone@11;sig=4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,1335,439,14405,5841,3195,3413,1858,1862,87,87,yes
094,char=vanguard@26;weapon=weapon_scattergun@50;armor=armor_kevlar@18;chip=chip_attack@21;pet=pet_turret_drone@15;sig=4,char=vanguard@17;weapon=weapon_scattergun@49;armor=armor_kevlar@14;chip=chip_attack@16;pet=pet_turret_drone@11;sig=4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,734,178,20278,6387,5053,5275,3316,3335,89,89,yes
095,char=vanguard@27;weapon=weapon_scattergun@50;armor=armor_kevlar@19;chip=chip_attack@22;pet=pet_turret_drone@15;sig=4,char=vanguard@17;weapon=weapon_scattergun@50;armor=armor_kevlar@14;chip=chip_attack@16;pet=pet_turret_drone@11;sig=4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:5|skill_split_shot:4,572,337,18715,5392,8369,110,2840,2844,91,91,yes
096,char=vanguard@27;weapon=weapon_scattergun@50;armor=armor_kevlar@19;chip=chip_attack@22;pet=pet_turret_drone@15;sig=5,char=vanguard@17;weapon=weapon_scattergun@50;armor=armor_kevlar@14;chip=chip_attack@17;pet=pet_turret_drone@11;sig=4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:5|skill_split_shot:4,1159,393,18857,7887,209,2954,2892,2903,93,93,yes
097,char=vanguard@28;weapon=weapon_scattergun@50;armor=armor_kevlar@20;chip=chip_attack@22;pet=pet_turret_drone@15;sig=5,char=vanguard@18;weapon=weapon_scattergun@50;armor=armor_kevlar@15;chip=chip_attack@17;pet=pet_turret_drone@11;sig=4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:5|skill_split_shot:4,478,453,18636,7310,3101,5857,2743,2752,95,95,yes
098,char=vanguard@28;weapon=weapon_scattergun@50;armor=armor_kevlar@20;chip=chip_attack@22;pet=pet_turret_drone@15;sig=5,char=vanguard@18;weapon=weapon_scattergun@50;armor=armor_kevlar@15;chip=chip_attack@17;pet=pet_turret_drone@12;sig=4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:5|skill_split_shot:5,370,195,18703,7291,5844,109,2650,2664,97,97,yes
099,char=vanguard@28;weapon=weapon_scattergun@50;armor=armor_kevlar@20;chip=chip_attack@23;pet=pet_turret_drone@16;sig=5,char=vanguard@19;weapon=weapon_scattergun@50;armor=armor_kevlar@16;chip=chip_attack@17;pet=pet_turret_drone@12;sig=4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:4|skill_split_shot:4,skill_barrier:5|skill_charge_shot:5|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:5|skill_slow_field:5|skill_split_shot:5,341,22,21391,6351,8494,2773,3217,3147,99,99,yes
